evidence_class,record_type,arm,scope_type,scope_id,covariance_eigenvalue,cumulative_variance_rank_90,cumulative_variance_rank_95,cumulative_variance_rank_99,diagnostic_only,exact_duplicate_burden,exact_duplicate_member_count,feature_dimension,fold_iqr_degenerate_feature_count,normalization_semantics,participation_ratio,row_count,singular_value,spectrum_index,stable_rank
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,2.4633265400347098e-05,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,0.9886596841612248,24,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,0.0,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,0.0,25,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,0.0,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,0.0,26,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,0.0,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,0.0,27,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,0.0,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,0.0,28,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,0.0,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,0.0,29,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,0.0,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,0.0,30,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,0.0,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,0.0,31,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,0.0,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,0.0,32,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,0.0,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,0.0,33,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,0.0,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,0.0,34,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,0.0,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,0.0,35,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,0.0,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,0.0,36,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,0.0,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,0.0,37,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,0.0,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,0.0,38,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,0.0,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,0.0,39,1.002959650033169
