arm,feature_index,feature_name,feature_dimension,finite_count,nonfinite_count,exact_constant,exact_duplicate_of,pairwise_exact_linear_dependency_of,linear_dependency_scalar_diagnostic,minimum,maximum,absolute_maximum,train_fold_iqr_degeneracy_count,column_sha256
MS,71,obs__L_1p50__pressure_acceleration_y,110,221184,0,False,,,,-61.23645417104305,54.01008537614272,61.23645417104305,6,2fa9dcbec02e5332d7b82720cf91fa1155698b1791ac8fd22abf3b7f7e42234c
MS,72,obs__L_1p50__viscosity_acceleration_x,110,221184,0,False,,,,-0.3588292601344628,0.3531285843740813,0.3588292601344628,3,5bed5cdb20a9262510ea3816eaa465ec3fe7135a83f328c6d2cdd604c26f2b45
MS,73,obs__L_1p50__viscosity_acceleration_y,110,221184,0,False,,,,-0.26815973227417406,0.30155511251180106,0.30155511251180106,2,0d3fe3917ccdf356419d52930a6efd235f6194258ccb38568cee66e9e87d893d
MS,74,obs__delta_L_1p50__density_rate,110,221184,0,False,,,,-2.251200973014389,2.251200973014385,2.251200973014389,0,8bf0b8431e68fdf82d3343f0aa251b158e1607c8c772fc9c73e1ae2ef697bfd8
MS,75,obs__delta_L_1p50__pressure_acceleration_x,110,221184,0,False,,,,-25.836893080488384,32.482245122237394,32.482245122237394,6,6bea49f5409aecbd2bc5a7df546efdc091ffac23612055ce979de7fc3c15c8e2
MS,76,obs__delta_L_1p50__pressure_acceleration_y,110,221184,0,False,,,,-30.576636190364784,25.223753187402174,30.576636190364784,6,a70c136b16388b24fdb7e54310167534e39d081df210f6987e470b2c0233df5f
MS,77,obs__delta_L_1p50__viscosity_acceleration_x,110,221184,0,False,,,,-0.2520588683278198,0.2520588683278196,0.2520588683278198,3,548429b794628531164bc216126357002dbce68f197626432aa83ee99f381c8e
MS,78,obs__delta_L_1p50__viscosity_acceleration_y,110,221184,0,False,,,,-0.1786068669510142,0.1786068669510137,0.1786068669510142,2,71958643658f88097191f3554cabb9ba6d5b2a9920981adc6ff2e9ecdae21144
MS,79,obs__G_1p50__density_rate,110,221184,0,False,,,,-2.4210832595838587,2.4210832595838556,2.4210832595838587,0,1bb96f43d1ddad2b67e849047009d29363f661b1dc67f19c2183abe510d8ed04
MS,80,obs__G_1p50__pressure_acceleration_x,110,221184,0,False,,,,-24.50043119778645,26.12663942302569,26.12663942302569,6,a0cc2d16cd734f63876cce910e1675c277770a89cc921eda7655cee02c61afe5
MS,81,obs__G_1p50__pressure_acceleration_y,110,221184,0,False,,,,-23.870395546163405,17.952597129706316,23.870395546163405,6,e56d0a3446b20b79dd69bc4aac478939a91dbe356d40090b7d409b20874a3cf4
MS,82,obs__G_1p50__viscosity_acceleration_x,110,221184,0,False,,,,-0.2841740938269156,0.2841740938269155,0.2841740938269156,3,9580cf372ce65bc58ebf78b0e0e6d8db09025bb3832219c4a165a095500b8b5b
MS,83,obs__G_1p50__viscosity_acceleration_y,110,221184,0,False,,,,-0.20839853249887122,0.20839853249887122,0.20839853249887122,2,721f56b715b32b8ce5f0c50e42fa72a37dbac51c8c44a51b6e54828f3d20fd81
MS,84,obs__S_0p75_1p25__density_rate,110,221184,0,False,,,,-1.9046154807745912,1.9046154807745876,1.9046154807745912,0,5fef0ace3339ddf7a7c2bc9dec880ba569fbba5fa50e2e5d4fa40a727ff06f0a
MS,85,obs__S_0p75_1p25__pressure_acceleration_x,110,221184,0,False,,,,-44.09124518474711,48.91687626406284,48.91687626406284,6,46b4f7009c3f4d7c51da8de504658b0759a1a57245ac29d1fe087f7ebb9911d4
MS,86,obs__S_0p75_1p25__pressure_acceleration_y,110,221184,0,False,,,,-47.84335024564184,39.86639321802578,47.84335024564184,6,9d85599a3d32220eeb43d904a004d773e308e785e267b5ab6f0fbea7861cd870
